User_Id,Place_Id,Place_Ratings
1,438,2
20,438,2
39,438,3
58,438,2
77,438,5
96,438,4
2,439,4
21,439,2
40,439,4
59,439,1
78,439,4
97,439,2
3,440,5
22,440,4
41,440,2
60,440,2
79,440,1
98,440,4
4,441,2
23,441,2
42,441,3
61,441,5
80,441,3
99,441,5
5,442,3
24,442,5
43,442,2
62,442,4
81,442,1
100,442,1
6,443,2
25,443,4
44,443,4
63,443,2
82,443,2
7,444,3
26,444,4
45,444,3
64,444,3
83,444,5
8,445,4
27,445,3
46,445,3
65,445,1
84,445,3
9,446,5
28,446,5
47,446,2
66,446,2
85,446,1
10,447,4
29,447,4
48,447,1
67,447,5
86,447,4
11,448,2
30,448,4
49,448,1
68,448,3
87,448,1
12,449,2
31,449,4
50,449,3
69,449,1
88,449,3
13,450,4
32,450,4
51,450,3
70,450,1
89,450,5
14,451,3
33,451,2
52,451,1
71,451,3
90,451,2
15,452,3
34,452,5
53,452,1
72,452,2
91,452,2
16,453,5
35,453,5
54,453,4
73,453,1
92,453,5
17,454,3
36,454,2
55,454,1
74,454,3
93,454,4
18,455,2
37,455,3
56,455,4
75,455,3
94,455,4
19,456,2
38,456,5
57,456,1
76,456,2
95,456,3
101,457,3
120,457,5
139,457,4
158,457,3
177,457,5
196,457,5
102,458,2
121,458,3
140,458,5
159,458,3
178,458,5
197,458,5
103,459,3
122,459,4
141,459,5
160,459,3
179,459,5
198,459,5
104,460,4
123,460,3
142,460,5
161,460,4
180,460,5
199,460,5
105,461,3
124,461,5
143,461,4
162,461,3
181,461,5
200,461,5
106,462,4
125,462,5
144,462,4
163,462,3
182,462,5
107,463,3
126,463,3
145,463,5
164,463,3
183,463,5
108,464,3
127,464,3
146,464,5
165,464,3
184,464,5
109,465,1
128,465,2
147,465,4
166,465,3
185,465,5
110,466,4
129,466,5
148,466,5
167,466,3
186,466,5
111,467,2
130,467,4
149,467,4
168,467,3
187,467,5
112,468,5
131,468,3
150,468,5
169,468,3
188,468,5
113,469,4
132,469,2
151,469,5
170,469,3
189,469,5
114,470,5
133,470,3
152,470,5
171,470,3
190,470,5
115,471,4
134,471,4
153,471,5
172,471,3
191,471,5
116,472,1
135,472,2
154,472,4
173,472,3
192,472,5
117,473,1
136,473,4
155,473,4
174,473,3
193,473,5
118,474,1
137,474,5
156,474,5
175,474,3
194,474,5
119,475,1
138,475,5
157,475,5
176,475,3
195,475,5
201,476,4
220,476,4
239,476,3
258,476,2
277,476,4
296,476,5
202,477,4
221,477,4
240,477,4
259,477,3
278,477,2
297,477,3
203,478,5
222,478,3
241,478,3
260,478,4
279,478,1
298,478,1
204,479,3
223,479,5
242,479,5
261,479,3
280,479,4
299,479,5
205,480,4
224,480,3
243,480,2
262,480,2
281,480,2
300,480,5
206,481,5
225,481,5
244,481,4
263,481,5
282,481,4
207,482,3
226,482,5
245,482,5
264,482,3
283,482,3
208,483,5
227,483,4
246,483,3
265,483,4
284,483,2
209,484,4
228,484,5
247,484,2
266,484,3
285,484,4
210,485,5
229,485,3
248,485,4
267,485,2
286,485,3
211,486,5
230,486,5
249,486,3
268,486,3
287,486,4
212,487,4
231,487,3
250,487,3
269,487,1
288,487,5
213,488,5
232,488,3
251,488,4
270,488,3
289,488,5
214,489,3
233,489,1
252,489,5
271,489,2
290,489,2
215,490,3
234,490,2
253,490,4
272,490,3
291,490,2
216,491,5
235,491,4
254,491,3
273,491,2
292,491,1
217,492,4
236,492,3
255,492,3
274,492,3
293,492,4
218,493,4
237,493,5
256,493,5
275,493,2
294,493,4
219,494,4
238,494,3
257,494,5
276,494,2
295,494,5
